Year,Territory,Pounds,Metric Tons,Dollars
2022,AMERICAN SAMOA,"3,059,470","1,388","4,287,816"
2022,GUAM,"81,395",37,"296,091"
2022,NORTHERN MARIANA IS.,"358,068",162,"1,237,035"
2023,AMERICAN SAMOA,"2,665,431","1,209","3,531,911"
2023,GUAM,"135,018",61,"596,705"
2023,NORTHERN MARIANA IS.,"159,404",72,"528,486"
