"","Region","EEZArea","Proparea","Percarea","CouncilName","Nstates","NFMPs","NFEPs","ComPounds","ComDollars","ComTons","RecPounds","RecDollars22","RecTons","PercComRev","PercComTons","PercRecExpend","PercRecTons"
"1","NewEngland",55947,0.0162718365504533,1.62718365504533,"New England",5,9,1,415766075,1352055242,188590,36994233,5.84e+08,16780,26.309502650476,4.88948526321339,4.33105903292792,10.136859509931
"2","Mid-Atlantic",53307,0.0155040089905627,1.55040089905627,"Mid-Atlantic",7,7,1,538074707,420482943,244069,90865773,2.3e+09,41216,8.18213395406403,6.32786350658692,17.0572530406408,24.8987366842261
"3","SouthAtlantic",143768,0.0418140275114941,4.18140275114941,"South Atlantic",4,8,1,97838011,172085568,44379,89634158,3.5e+09,40658,3.34859521028703,1.15059370325122,25.9566894096707,24.5616468387827
"4","GulfofMexico",182752,0.0531522811458779,5.31522811458779,"Gulf",5,7,1,1265843426,795392054,574183,97832756,5.1e+09,44377,15.4774514404646,14.8865757298248,37.8226045683773,26.8083083714068
"5","Caribbean",57651,0.0167674343391099,1.67674343391099,"Caribbean",2,3,1,3087490,13970000,1400.22222222222,1319698.90677697,7.2e+07,598.502905567787,0.271840780324529,0.0363029106568718,0.533966182141798,0.361557799167231
"6","Pacific",231748,0.0674024626323921,6.74024626323921,"Pacific",3,4,1,867444175,642881372,393470,10585612,8.07e+08,4802,12.5097619055536,10.2013137839576,5.98487095817265,2.90090580254401
"7","NorthPacific",1026771,0.298629951324386,29.8629951324386,"North Pacific",1,6,2,5282176253,1613434289,2395979,NA,6.86e+08,NA,31.3956504025849,62.1194337529495,5.08751112429546,NA
"8","WesternPacific",1686328,0.490457997505724,49.0457997505724,"Western Pacific",4,0,5,33031565,128736164,14982,37704553,4.35e+08,17103,2.50506365624528,0.388431349559695,3.22604568377336,10.3319849939422
