"Time","EPU","Depth","Var","temp.threshold","Units","Source","Value"
"2022","SAtl","0-25m",">0°C",0,"Proportion","GLORYS",1.00000011511176
"2022","SAtl","0-25m",">10°C",10,"Proportion","GLORYS",0.994732060846624
"2022","SAtl","0-25m",">11°C",11,"Proportion","GLORYS",0.98564328871609
"2022","SAtl","0-25m",">12°C",12,"Proportion","GLORYS",0.971613356133089
"2022","SAtl","0-25m",">13°C",13,"Proportion","GLORYS",0.954657610696382
"2022","SAtl","0-25m",">14°C",14,"Proportion","GLORYS",0.932466860310425
"2022","SAtl","0-25m",">15°C",15,"Proportion","GLORYS",0.902951183311611
"2022","SAtl","0-25m",">16°C",16,"Proportion","GLORYS",0.867703955824014
"2022","SAtl","0-25m",">17°C",17,"Proportion","GLORYS",0.82203886241434
"2022","SAtl","0-25m",">18°C",18,"Proportion","GLORYS",0.771825235715485
"2022","SAtl","0-25m",">19°C",19,"Proportion","GLORYS",0.729672957562577
"2022","SAtl","0-25m",">1°C",1,"Proportion","GLORYS",1.00000011511176
"2022","SAtl","0-25m",">20°C",20,"Proportion","GLORYS",0.690014684788404
"2022","SAtl","0-25m",">21°C",21,"Proportion","GLORYS",0.639457807769057
"2022","SAtl","0-25m",">22°C",22,"Proportion","GLORYS",0.575352320054771
"2022","SAtl","0-25m",">23°C",23,"Proportion","GLORYS",0.503971034427641
"2022","SAtl","0-25m",">24°C",24,"Proportion","GLORYS",0.42421246029243
"2022","SAtl","0-25m",">25°C",25,"Proportion","GLORYS",0.360742557480325
"2022","SAtl","0-25m",">26°C",26,"Proportion","GLORYS",0.298185018014431
"2022","SAtl","0-25m",">27°C",27,"Proportion","GLORYS",0.216403753739531
"2022","SAtl","0-25m",">28°C",28,"Proportion","GLORYS",0.112164904239834
"2022","SAtl","0-25m",">29°C",29,"Proportion","GLORYS",0.0409211870081775
"2022","SAtl","0-25m",">2°C",2,"Proportion","GLORYS",1.00000011511176
"2022","SAtl","0-25m",">30°C",30,"Proportion","GLORYS",0.00816334457735761
"2022","SAtl","0-25m",">3°C",3,"Proportion","GLORYS",1.00000011511176
"2022","SAtl","0-25m",">4°C",4,"Proportion","GLORYS",1.00000011511176
"2022","SAtl","0-25m",">5°C",5,"Proportion","GLORYS",1.00000011511176
"2022","SAtl","0-25m",">6°C",6,"Proportion","GLORYS",1.00000011511176
"2022","SAtl","0-25m",">7°C",7,"Proportion","GLORYS",0.999766676685966
"2022","SAtl","0-25m",">8°C",8,"Proportion","GLORYS",0.999080352625863
"2022","SAtl","0-25m",">9°C",9,"Proportion","GLORYS",0.998206602550966
"2022","SAtl","100-300m",">0°C",0,"Proportion","GLORYS",1.00000011456181
"2022","SAtl","100-300m",">10°C",10,"Proportion","GLORYS",0.987493529452755
"2022","SAtl","100-300m",">11°C",11,"Proportion","GLORYS",0.960318510405129
"2022","SAtl","100-300m",">12°C",12,"Proportion","GLORYS",0.897176237830926
"2022","SAtl","100-300m",">13°C",13,"Proportion","GLORYS",0.804421493108245
"2022","SAtl","100-300m",">14°C",14,"Proportion","GLORYS",0.694085850142308
"2022","SAtl","100-300m",">15°C",15,"Proportion","GLORYS",0.571834680224571
"2022","SAtl","100-300m",">16°C",16,"Proportion","GLORYS",0.460093036181434
"2022","SAtl","100-300m",">17°C",17,"Proportion","GLORYS",0.368230274959484
"2022","SAtl","100-300m",">18°C",18,"Proportion","GLORYS",0.281450178569238
"2022","SAtl","100-300m",">19°C",19,"Proportion","GLORYS",0.202862137788843
"2022","SAtl","100-300m",">1°C",1,"Proportion","GLORYS",1.00000011456181
"2022","SAtl","100-300m",">20°C",20,"Proportion","GLORYS",0.136096739175098
"2022","SAtl","100-300m",">21°C",21,"Proportion","GLORYS",0.0874219217579537
"2022","SAtl","100-300m",">22°C",22,"Proportion","GLORYS",0.0508257332709841
"2022","SAtl","100-300m",">23°C",23,"Proportion","GLORYS",0.0243792679022546
"2022","SAtl","100-300m",">24°C",24,"Proportion","GLORYS",0.0103239103055084
"2022","SAtl","100-300m",">25°C",25,"Proportion","GLORYS",0.00426814230059706
"2022","SAtl","100-300m",">26°C",26,"Proportion","GLORYS",0.0011068988063013
"2022","SAtl","100-300m",">27°C",27,"Proportion","GLORYS",3.45768893005275e-05
"2022","SAtl","100-300m",">28°C",28,"Proportion","GLORYS",0
"2022","SAtl","100-300m",">29°C",29,"Proportion","GLORYS",0
