"Time","EPU","Depth","Var","temp.threshold","Units","Source","Value"
"2020","SAtl","0-25m",">0°C",0,"Proportion","GLORYS",1.00000011511176
"2020","SAtl","0-25m",">10°C",10,"Proportion","GLORYS",0.997328021117901
"2020","SAtl","0-25m",">11°C",11,"Proportion","GLORYS",0.995543039056491
"2020","SAtl","0-25m",">12°C",12,"Proportion","GLORYS",0.990386068424252
"2020","SAtl","0-25m",">13°C",13,"Proportion","GLORYS",0.970782873504524
"2020","SAtl","0-25m",">14°C",14,"Proportion","GLORYS",0.935408173380805
"2020","SAtl","0-25m",">15°C",15,"Proportion","GLORYS",0.890668495779263
"2020","SAtl","0-25m",">16°C",16,"Proportion","GLORYS",0.843130485623588
"2020","SAtl","0-25m",">17°C",17,"Proportion","GLORYS",0.797352231969703
"2020","SAtl","0-25m",">18°C",18,"Proportion","GLORYS",0.759325892304441
"2020","SAtl","0-25m",">19°C",19,"Proportion","GLORYS",0.723080691358387
"2020","SAtl","0-25m",">1°C",1,"Proportion","GLORYS",1.00000011511176
"2020","SAtl","0-25m",">20°C",20,"Proportion","GLORYS",0.682472604121299
"2020","SAtl","0-25m",">21°C",21,"Proportion","GLORYS",0.63822783389343
"2020","SAtl","0-25m",">22°C",22,"Proportion","GLORYS",0.588384594519729
"2020","SAtl","0-25m",">23°C",23,"Proportion","GLORYS",0.532834459507636
"2020","SAtl","0-25m",">24°C",24,"Proportion","GLORYS",0.461905864909243
"2020","SAtl","0-25m",">25°C",25,"Proportion","GLORYS",0.373468846060349
"2020","SAtl","0-25m",">26°C",26,"Proportion","GLORYS",0.306772093214933
"2020","SAtl","0-25m",">27°C",27,"Proportion","GLORYS",0.25585699241249
"2020","SAtl","0-25m",">28°C",28,"Proportion","GLORYS",0.175063309902009
"2020","SAtl","0-25m",">29°C",29,"Proportion","GLORYS",0.079602387676719
"2020","SAtl","0-25m",">2°C",2,"Proportion","GLORYS",1.00000011511176
"2020","SAtl","0-25m",">30°C",30,"Proportion","GLORYS",0.0173555302104995
"2020","SAtl","0-25m",">3°C",3,"Proportion","GLORYS",1.00000011511176
"2020","SAtl","0-25m",">4°C",4,"Proportion","GLORYS",1.00000011511176
"2020","SAtl","0-25m",">5°C",5,"Proportion","GLORYS",1.00000011511176
"2020","SAtl","0-25m",">6°C",6,"Proportion","GLORYS",1.00000011511176
"2020","SAtl","0-25m",">7°C",7,"Proportion","GLORYS",1.00000011511176
"2020","SAtl","0-25m",">8°C",8,"Proportion","GLORYS",0.999995462632221
"2020","SAtl","0-25m",">9°C",9,"Proportion","GLORYS",0.998589871893347
"2020","SAtl","100-300m",">0°C",0,"Proportion","GLORYS",1.00000011456181
"2020","SAtl","100-300m",">10°C",10,"Proportion","GLORYS",0.969481955258727
"2020","SAtl","100-300m",">11°C",11,"Proportion","GLORYS",0.926040475359297
"2020","SAtl","100-300m",">12°C",12,"Proportion","GLORYS",0.859288695937353
"2020","SAtl","100-300m",">13°C",13,"Proportion","GLORYS",0.76746481571822
"2020","SAtl","100-300m",">14°C",14,"Proportion","GLORYS",0.665305366242545
"2020","SAtl","100-300m",">15°C",15,"Proportion","GLORYS",0.568220938218805
"2020","SAtl","100-300m",">16°C",16,"Proportion","GLORYS",0.47067621567626
"2020","SAtl","100-300m",">17°C",17,"Proportion","GLORYS",0.37916391703195
"2020","SAtl","100-300m",">18°C",18,"Proportion","GLORYS",0.299713080379698
"2020","SAtl","100-300m",">19°C",19,"Proportion","GLORYS",0.228050418142496
"2020","SAtl","100-300m",">1°C",1,"Proportion","GLORYS",1.00000011456181
"2020","SAtl","100-300m",">20°C",20,"Proportion","GLORYS",0.16060638669551
"2020","SAtl","100-300m",">21°C",21,"Proportion","GLORYS",0.103604173314116
"2020","SAtl","100-300m",">22°C",22,"Proportion","GLORYS",0.0662148409945051
"2020","SAtl","100-300m",">23°C",23,"Proportion","GLORYS",0.0438127188271223
"2020","SAtl","100-300m",">24°C",24,"Proportion","GLORYS",0.0273228969498505
"2020","SAtl","100-300m",">25°C",25,"Proportion","GLORYS",0.0141376642306506
"2020","SAtl","100-300m",">26°C",26,"Proportion","GLORYS",0.00516925584815912
"2020","SAtl","100-300m",">27°C",27,"Proportion","GLORYS",0.000942658087861281
"2020","SAtl","100-300m",">28°C",28,"Proportion","GLORYS",1.15178242511699e-05
"2020","SAtl","100-300m",">29°C",29,"Proportion","GLORYS",0
"2020","SAtl","100-300m",">2°C",2,"Proportion","GLORYS",1.00000011456181
"2020","SAtl","100-300m",">30°C",30,"Proportion","GLORYS",0
"2020","SAtl","100-300m",">3°C",3,"Proportion","GLORYS",1.00000011456181
"2020","SAtl","100-300m",">4°C",4,"Proportion","GLORYS",1.00000011456181
"2020","SAtl","100-300m",">5°C",5,"Proportion","GLORYS",1.00000011456181
"2020","SAtl","100-300m",">6°C",6,"Proportion","GLORYS",1.00000011456181
"2020","SAtl","100-300m",">7°C",7,"Proportion","GLORYS",1.00000011456181
"2020","SAtl","100-300m",">8°C",8,"Proportion","GLORYS",0.999225747821355
"2020","SAtl","100-300m",">9°C",9,"Proportion","GLORYS",0.990813412079106
"2020","SAtl","25-100m",">0°C",0,"Proportion","GLORYS",1.00000011531952
"2020","SAtl","25-100m",">10°C",10,"Proportion","GLORYS",0.995871575872009
"2020","SAtl","25-100m",">11°C",11,"Proportion","GLORYS",0.994194368922376
"2020","SAtl","25-100m",">12°C",12,"Proportion","GLORYS",0.992708794757833
"2020","SAtl","25-100m",">13°C",13,"Proportion","GLORYS",0.990483798755939
"2020","SAtl","25-100m",">14°C",14,"Proportion","GLORYS",0.985894966169147
"2020","SAtl","25-100m",">15°C",15,"Proportion","GLORYS",0.978615280059532
"2020","SAtl","25-100m",">16°C",16,"Proportion","GLORYS",0.967102789248135
"2020","SAtl","25-100m",">17°C",17,"Proportion","GLORYS",0.947359616860844
"2020","SAtl","25-100m",">18°C",18,"Proportion","GLORYS",0.918177417238105
"2020","SAtl","25-100m",">19°C",19,"Proportion","GLORYS",0.876931234326939
