"Time","EPU","Depth","Var","temp.threshold","Units","Source","Value"
"2023","SAtl","0-25m",">0°C",0,"Proportion","GLORYS",1.00000011511176
"2023","SAtl","0-25m",">10°C",10,"Proportion","GLORYS",0.997166421614932
"2023","SAtl","0-25m",">11°C",11,"Proportion","GLORYS",0.996140887941205
"2023","SAtl","0-25m",">12°C",12,"Proportion","GLORYS",0.993492477166049
"2023","SAtl","0-25m",">13°C",13,"Proportion","GLORYS",0.98194597893871
"2023","SAtl","0-25m",">14°C",14,"Proportion","GLORYS",0.951876880827521
"2023","SAtl","0-25m",">15°C",15,"Proportion","GLORYS",0.914496858439404
"2023","SAtl","0-25m",">16°C",16,"Proportion","GLORYS",0.872037214290307
"2023","SAtl","0-25m",">17°C",17,"Proportion","GLORYS",0.826916057355036
"2023","SAtl","0-25m",">18°C",18,"Proportion","GLORYS",0.773504146127008
"2023","SAtl","0-25m",">19°C",19,"Proportion","GLORYS",0.72248636399665
"2023","SAtl","0-25m",">1°C",1,"Proportion","GLORYS",1.00000011511176
"2023","SAtl","0-25m",">20°C",20,"Proportion","GLORYS",0.677971819804329
"2023","SAtl","0-25m",">21°C",21,"Proportion","GLORYS",0.628066298632718
"2023","SAtl","0-25m",">22°C",22,"Proportion","GLORYS",0.564996410639923
"2023","SAtl","0-25m",">23°C",23,"Proportion","GLORYS",0.489383148440171
"2023","SAtl","0-25m",">24°C",24,"Proportion","GLORYS",0.422569052118921
"2023","SAtl","0-25m",">25°C",25,"Proportion","GLORYS",0.348779270714528
"2023","SAtl","0-25m",">26°C",26,"Proportion","GLORYS",0.271471921568475
"2023","SAtl","0-25m",">27°C",27,"Proportion","GLORYS",0.200509577825478
"2023","SAtl","0-25m",">28°C",28,"Proportion","GLORYS",0.12718710183269
"2023","SAtl","0-25m",">29°C",29,"Proportion","GLORYS",0.0533287784470102
"2023","SAtl","0-25m",">2°C",2,"Proportion","GLORYS",1.00000011511176
"2023","SAtl","0-25m",">30°C",30,"Proportion","GLORYS",0.0183198181778933
"2023","SAtl","0-25m",">3°C",3,"Proportion","GLORYS",1.00000011511176
"2023","SAtl","0-25m",">4°C",4,"Proportion","GLORYS",1.00000011511176
"2023","SAtl","0-25m",">5°C",5,"Proportion","GLORYS",1.00000011511176
"2023","SAtl","0-25m",">6°C",6,"Proportion","GLORYS",1.00000011511176
"2023","SAtl","0-25m",">7°C",7,"Proportion","GLORYS",1.00000011511176
"2023","SAtl","0-25m",">8°C",8,"Proportion","GLORYS",1.00000011511176
"2023","SAtl","0-25m",">9°C",9,"Proportion","GLORYS",0.99924446659253
"2023","SAtl","100-300m",">0°C",0,"Proportion","GLORYS",1.00000011456181
"2023","SAtl","100-300m",">10°C",10,"Proportion","GLORYS",0.98952500728608
"2023","SAtl","100-300m",">11°C",11,"Proportion","GLORYS",0.969479875823187
