"Time","EPU","Depth","Var","temp.threshold","Units","Source","Value"
"2021","SAtl","0-25m",">0°C",0,"Proportion","GLORYS",1.00000011511176
"2021","SAtl","0-25m",">10°C",10,"Proportion","GLORYS",0.993846064002427
"2021","SAtl","0-25m",">11°C",11,"Proportion","GLORYS",0.984011506789468
"2021","SAtl","0-25m",">12°C",12,"Proportion","GLORYS",0.965798958230228
"2021","SAtl","0-25m",">13°C",13,"Proportion","GLORYS",0.93854443630104
"2021","SAtl","0-25m",">14°C",14,"Proportion","GLORYS",0.897328180492727
"2021","SAtl","0-25m",">15°C",15,"Proportion","GLORYS",0.851259221904762
"2021","SAtl","0-25m",">16°C",16,"Proportion","GLORYS",0.803016470579861
"2021","SAtl","0-25m",">17°C",17,"Proportion","GLORYS",0.752900776072594
"2021","SAtl","0-25m",">18°C",18,"Proportion","GLORYS",0.70583207403865
"2021","SAtl","0-25m",">19°C",19,"Proportion","GLORYS",0.660173905711862
"2021","SAtl","0-25m",">1°C",1,"Proportion","GLORYS",1.00000011511176
"2021","SAtl","0-25m",">20°C",20,"Proportion","GLORYS",0.62025629210026
"2021","SAtl","0-25m",">21°C",21,"Proportion","GLORYS",0.581627893295659
"2021","SAtl","0-25m",">22°C",22,"Proportion","GLORYS",0.545085151587931
"2021","SAtl","0-25m",">23°C",23,"Proportion","GLORYS",0.508959684806956
"2021","SAtl","0-25m",">24°C",24,"Proportion","GLORYS",0.46187113876236
"2021","SAtl","0-25m",">25°C",25,"Proportion","GLORYS",0.405648099025376
"2021","SAtl","0-25m",">26°C",26,"Proportion","GLORYS",0.320437291180885
"2021","SAtl","0-25m",">27°C",27,"Proportion","GLORYS",0.201583532691786
"2021","SAtl","0-25m",">28°C",28,"Proportion","GLORYS",0.0933701108254849
"2021","SAtl","0-25m",">29°C",29,"Proportion","GLORYS",0.0297948056922986
"2021","SAtl","0-25m",">2°C",2,"Proportion","GLORYS",1.00000011511176
"2021","SAtl","0-25m",">30°C",30,"Proportion","GLORYS",0.00448831376176096
"2021","SAtl","0-25m",">3°C",3,"Proportion","GLORYS",1.00000011511176
"2021","SAtl","0-25m",">4°C",4,"Proportion","GLORYS",1.00000011511176
"2021","SAtl","0-25m",">5°C",5,"Proportion","GLORYS",0.999953501586605
"2021","SAtl","0-25m",">6°C",6,"Proportion","GLORYS",0.999252913634581
"2021","SAtl","0-25m",">7°C",7,"Proportion","GLORYS",0.998345683169147
"2021","SAtl","0-25m",">8°C",8,"Proportion","GLORYS",0.997240786826226
"2021","SAtl","0-25m",">9°C",9,"Proportion","GLORYS",0.996141019913044
"2021","SAtl","100-300m",">0°C",0,"Proportion","GLORYS",1.00000011456181
"2021","SAtl","100-300m",">10°C",10,"Proportion","GLORYS",0.984159353160079
"2021","SAtl","100-300m",">11°C",11,"Proportion","GLORYS",0.959585445723431
"2021","SAtl","100-300m",">12°C",12,"Proportion","GLORYS",0.899804581443612
"2021","SAtl","100-300m",">13°C",13,"Proportion","GLORYS",0.80379936729472
"2021","SAtl","100-300m",">14°C",14,"Proportion","GLORYS",0.68204129844212
"2021","SAtl","100-300m",">15°C",15,"Proportion","GLORYS",0.559425032348553
"2021","SAtl","100-300m",">16°C",16,"Proportion","GLORYS",0.452856192148312
"2021","SAtl","100-300m",">17°C",17,"Proportion","GLORYS",0.350846555378077
"2021","SAtl","100-300m",">18°C",18,"Proportion","GLORYS",0.25669578914557
"2021","SAtl","100-300m",">19°C",19,"Proportion","GLORYS",0.176867727500428
"2021","SAtl","100-300m",">1°C",1,"Proportion","GLORYS",1.00000011456181
"2021","SAtl","100-300m",">20°C",20,"Proportion","GLORYS",0.111309546988073
"2021","SAtl","100-300m",">21°C",21,"Proportion","GLORYS",0.0647436774855436
"2021","SAtl","100-300m",">22°C",22,"Proportion","GLORYS",0.0343663503281687
"2021","SAtl","100-300m",">23°C",23,"Proportion","GLORYS",0.0168919726065512
"2021","SAtl","100-300m",">24°C",24,"Proportion","GLORYS",0.008474072433147
"2021","SAtl","100-300m",">25°C",25,"Proportion","GLORYS",0.00392273973730842
"2021","SAtl","100-300m",">26°C",26,"Proportion","GLORYS",0.00130180558491895
"2021","SAtl","100-300m",">27°C",27,"Proportion","GLORYS",0.000219404899313943
"2021","SAtl","100-300m",">28°C",28,"Proportion","GLORYS",1.1557116461502e-05
"2021","SAtl","100-300m",">29°C",29,"Proportion","GLORYS",0
