"Time","EPU","Depth","Var","temp.threshold","Units","Source","Value"
"2025","SAtl","0-25m",">0°C",0,"Proportion","GLORYS",1.00000011511176
"2025","SAtl","0-25m",">10°C",10,"Proportion","GLORYS",0.98860337626935
"2025","SAtl","0-25m",">11°C",11,"Proportion","GLORYS",0.976654500491689
"2025","SAtl","0-25m",">12°C",12,"Proportion","GLORYS",0.955328737930118
"2025","SAtl","0-25m",">13°C",13,"Proportion","GLORYS",0.917382040718435
"2025","SAtl","0-25m",">14°C",14,"Proportion","GLORYS",0.878824395444018
"2025","SAtl","0-25m",">15°C",15,"Proportion","GLORYS",0.840440630228955
"2025","SAtl","0-25m",">16°C",16,"Proportion","GLORYS",0.799321744036062
"2025","SAtl","0-25m",">17°C",17,"Proportion","GLORYS",0.753151105412995
"2025","SAtl","0-25m",">18°C",18,"Proportion","GLORYS",0.716434808849594
"2025","SAtl","0-25m",">19°C",19,"Proportion","GLORYS",0.682030303875402
"2025","SAtl","0-25m",">1°C",1,"Proportion","GLORYS",1.00000011511176
"2025","SAtl","0-25m",">20°C",20,"Proportion","GLORYS",0.649119916623061
"2025","SAtl","0-25m",">21°C",21,"Proportion","GLORYS",0.618387375630199
"2025","SAtl","0-25m",">22°C",22,"Proportion","GLORYS",0.583530321642977
"2025","SAtl","0-25m",">23°C",23,"Proportion","GLORYS",0.533354124290205
"2025","SAtl","0-25m",">24°C",24,"Proportion","GLORYS",0.455759972125753
"2025","SAtl","0-25m",">25°C",25,"Proportion","GLORYS",0.357566895746672
"2025","SAtl","0-25m",">26°C",26,"Proportion","GLORYS",0.263924412159277
"2025","SAtl","0-25m",">27°C",27,"Proportion","GLORYS",0.177456776462479
"2025","SAtl","0-25m",">28°C",28,"Proportion","GLORYS",0.108272713584619
"2025","SAtl","0-25m",">29°C",29,"Proportion","GLORYS",0.0573257308906732
"2025","SAtl","0-25m",">2°C",2,"Proportion","GLORYS",1.00000011511176
"2025","SAtl","0-25m",">30°C",30,"Proportion","GLORYS",0.0244873482033961
"2025","SAtl","0-25m",">3°C",3,"Proportion","GLORYS",1.00000011511176
"2025","SAtl","0-25m",">4°C",4,"Proportion","GLORYS",1.00000011511176
"2025","SAtl","0-25m",">5°C",5,"Proportion","GLORYS",0.999976818010608
"2025","SAtl","0-25m",">6°C",6,"Proportion","GLORYS",0.999785251622777
"2025","SAtl","0-25m",">7°C",7,"Proportion","GLORYS",0.998926147361875
"2025","SAtl","0-25m",">8°C",8,"Proportion","GLORYS",0.997451098248283
"2025","SAtl","0-25m",">9°C",9,"Proportion","GLORYS",0.994706412839339
"2025","SAtl","100-300m",">0°C",0,"Proportion","GLORYS",1.00000011456181
