"Time","EPU","Depth","Var","temp.threshold","Units","Source","Value"
"2024","SAtl","25-100m",">14°C",14,"Proportion","GLORYS",0.973836473315016
"2024","SAtl","25-100m",">15°C",15,"Proportion","GLORYS",0.959418222882153
"2024","SAtl","25-100m",">16°C",16,"Proportion","GLORYS",0.937948253103307
"2024","SAtl","25-100m",">17°C",17,"Proportion","GLORYS",0.908953765824047
"2024","SAtl","25-100m",">18°C",18,"Proportion","GLORYS",0.869644614673099
"2024","SAtl","25-100m",">19°C",19,"Proportion","GLORYS",0.819633260339876
"2024","SAtl","25-100m",">1°C",1,"Proportion","GLORYS",1.00000011531952
"2024","SAtl","25-100m",">20°C",20,"Proportion","GLORYS",0.757987492013816
"2024","SAtl","25-100m",">21°C",21,"Proportion","GLORYS",0.683361830267483
"2024","SAtl","25-100m",">22°C",22,"Proportion","GLORYS",0.580795774657774
"2024","SAtl","25-100m",">23°C",23,"Proportion","GLORYS",0.461992684775383
"2024","SAtl","25-100m",">24°C",24,"Proportion","GLORYS",0.350875101958765
"2024","SAtl","25-100m",">25°C",25,"Proportion","GLORYS",0.248309408742739
"2024","SAtl","25-100m",">26°C",26,"Proportion","GLORYS",0.16467809225715
"2024","SAtl","25-100m",">27°C",27,"Proportion","GLORYS",0.0848098679391054
"2024","SAtl","25-100m",">28°C",28,"Proportion","GLORYS",0.0185652005992089
"2024","SAtl","25-100m",">29°C",29,"Proportion","GLORYS",0.0025691250857694
"2024","SAtl","25-100m",">2°C",2,"Proportion","GLORYS",1.00000011531952
"2024","SAtl","25-100m",">30°C",30,"Proportion","GLORYS",0.000285553924656834
"2024","SAtl","25-100m",">3°C",3,"Proportion","GLORYS",1.00000011531952
"2024","SAtl","25-100m",">4°C",4,"Proportion","GLORYS",1.00000011531952
"2024","SAtl","25-100m",">5°C",5,"Proportion","GLORYS",1.00000011531952
"2024","SAtl","25-100m",">6°C",6,"Proportion","GLORYS",1.00000011531952
"2024","SAtl","25-100m",">7°C",7,"Proportion","GLORYS",1.00000011531952
"2024","SAtl","25-100m",">8°C",8,"Proportion","GLORYS",0.999582723729635
"2024","SAtl","25-100m",">9°C",9,"Proportion","GLORYS",0.997084228290807
"2024","SAtl","AllDepths",">0°C",0,"Proportion","GLORYS",1.00000011428228
"2024","SAtl","AllDepths",">10°C",10,"Proportion","GLORYS",0.574025694340839
"2024","SAtl","AllDepths",">11°C",11,"Proportion","GLORYS",0.510876680746428
"2024","SAtl","AllDepths",">12°C",12,"Proportion","GLORYS",0.463804708940155
"2024","SAtl","AllDepths",">13°C",13,"Proportion","GLORYS",0.428779114093923
"2024","SAtl","AllDepths",">14°C",14,"Proportion","GLORYS",0.399861191806491
"2024","SAtl","AllDepths",">15°C",15,"Proportion","GLORYS",0.37616280009128
"2024","SAtl","AllDepths",">16°C",16,"Proportion","GLORYS",0.355639154428191
"2024","SAtl","AllDepths",">17°C",17,"Proportion","GLORYS",0.33591279054354
"2024","SAtl","AllDepths",">18°C",18,"Proportion","GLORYS",0.316023248746467
"2024","SAtl","AllDepths",">19°C",19,"Proportion","GLORYS",0.295022867883891
"2024","SAtl","AllDepths",">1°C",1,"Proportion","GLORYS",1.00000011428228
"2024","SAtl","AllDepths",">20°C",20,"Proportion","GLORYS",0.27257807874208
"2024","SAtl","AllDepths",">21°C",21,"Proportion","GLORYS",0.247274920394185
