"","Policy","Brief","ProposedInd","CurrentInd","PotentialInd","Feasibility"
"1","Forage Fisheries","Consider forage impacts on predator productivity when setting catch limits","Forage stock abundance and dynamics for important forage by FMP (Appendix A)","Forage fish (menhaden) abundance and estuarine crab and shrimp landings","Add food web estimated trends for aggregate forage","High: use current food web model"
"2","Prey Importance","Classify important prey as ecosystem component species","Mass, occurrence, and degree of overlap among multiple predators","Average percent prey in diet by FMP (Appendix A)","Diet analysis to estimate prey mass, occurrence, and degree of overlap among multiple predators","Unknown, dependent on quality of existing food habits data"
"3","Food Web Indicators","Consider food web targets and thresholds for management action","Not listed","Mean Trophic Level","Estimate from food web model","High: use current food web model"
"4","Food Web Connectivity","Account for migratory species interactions across otherwise separate food webs","Not listed","None","Potentially from spatial food web model","Moderate: requires spatial update to food web model"
"5","Trophic Pathways","Maintain diverse (bottom up and top down) energy pathways","Diversity of energy pathways","None","Estimate from food web model","High: use current food web model"
"6","Food Web Models","Use food web models in multiple decision contexts where appropriate","Not listed","None","Identify desirable food web states and estimate from food web model","High: use current food web model, pending Council ecosystem objectives"
"7","Ecosystem Component Species","Definition: otherwise unmanaged species important to achieving ecosystem management objectives","Not listed","None","Use indicators for Prey Importance","High: aggregate indicators available"
"8","Invasive Species","Account for invasive species impacts in management actions","Lionfish predation on and competition with other reef species","None","Analysis of lionfish diet, distribution and abundance, potentially add to food web model","Moderate: published lionfish diet studies exist, requires abundance data and model update"
"9","Contaminants","Consider human health and food web impacts","Not listed","None","Potentially from seafood safety monitoring","Low: published contaminant studies have limited spatial scope"
