Meeting,Committee,MotionN,Topic,Species,MotionDesc,Category,Timing,Ecosystem,How,Notes
December2023,CMP,17,FrameworkAmendment 13,SpanishMackerel,add action,strategic,occasional,maybe,evaluate ecosystem impacts on long term OY,modify long term OY
December2023,CMP,18,FrameworkAmendment 13,SpanishMackerel,add action,tactical,routine,no,,inseason postseason accountability measures
December2023,CMP,19,TimingTasks,AllMackerelCobia,develop finalize and request info,both,both,no,,tournaments port meetings
December2023,DW,20,TimingTasks,Dolphin,develop finalize and request info,both,both,no,,MSE progress reports
December2023,SG,21,Amendment 48,Wreckfish,approve subcommittee motions,both,both,maybe,evaluate rationale for spawning season closure timing,
December2023,SG,22,Amendment 46,AllSnapperGrouper,select preferred alternative,strategic,occasional,no,,
December2023,SG,23,Amendment 46,AllSnapperGrouper,select preferred alternative,strategic,occasional,no,,
December2023,SG,24,Amendment 46,AllSnapperGrouper,approve all actions as modified,strategic,occasional,no,,
December2023,SG,25,RegAmendment 36,Gag;BlackGrouper;BlackSeaBass,approve amendment scoping,tactical,routine,no,,
December2023,SG,26,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,strategic,routine,maybe,evaluate ecological connections within new comples,reorganize complex
December2023,SG,27,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,multispecies msy proxy,msy proxy spr 40%
December2023,SG,28,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,multispecies F reference point,max F F40%
December2023,SG,29,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,mulltispecies MSST,MSST 75% SSBMSY
December2023,SG,30,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,multispecies rebuilding plan,rebuild 10 years
December2023,SG,31,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,maybe,multispecies ABC=ACL,ABC=ACL
December2023,SG,32,Amendment 55,Scamp;YellowmouthGrouper,select preferred alternative,tactical,routine,no,,commercial accountability measures
December2023,SG,33,Amendment 44,YellowtailSnapper,delay amendment,strategic,occasional,no,,update rec data
December2023,SG,34,RegAmendment 35,RedSnapper,rescind amendment approval,tactical,occasional,no,,
